DateTime,AddedIPs,RemovedIPs
1601766759,124,121
1601768658,95,93
1601770573,145,123
1601772515,104,102
1601774412,98,136
1601776333,89,116
1601778282,154,285
1601780180,85,328
1601782003,133,487
1601784131,98,557
1601785941,92,477
1601787860,118,572
1601789802,102,617
1601791697,159,629
1601793614,109,569
1601795568,161,612
1601797456,135,588
1601799372,131,146
1601801326,108,123
1601803214,159,141
1601805137,124,125
1601807084,156,189
1601808985,114,111
1601810897,141,1240
1601812854,137,121
1601814737,138,211
1601816657,202,164
1601818606,1499,103
1601820502,253,443
1601822420,108,98
1601824370,393,150
1601826256,125,108
1601828175,321,196
1601830123,227,116
1601832013,153,147
1601833935,106,98
1601835883,167,174
1601837786,132,187
1601839693,280,107
1601841675,200,127
1601843538,132,280
1601845388,115,139
1601847401,151,150
1601849297,194,168
1601851213,163,86
1601853162,137,146
1601855053,133,108
1601856969,152,181
1601858918,148,132
1601860812,219,113
1601862735,220,100
1601864685,251,181
1601866588,162,99
1601868499,205,146
1601870517,198,109
1601872345,215,110
1601874500,218,125
1601876418,179,128
1601878364,224,158
1601880255,1587,119
1601882183,262,181
1601884118,180,123
1601886014,235,145
1601887936,187,112
1601889890,224,157
1601891779,288,114
1601893696,267,154
1601895763,155,151
1601897803,178,170
1601899691,147,149
1601901625,121,90
1601903561,185,132
1601905466,266,117
1601907410,180,176
1601909331,123,105
1601911221,144,342
1601913141,93,131
1601915117,172,173
1601917004,131,131
1601918907,143,108
1601920888,152,84
1601922758,171,1101
1601924614,147,102
1601926600,117,164
1601928495,99,140
1601930421,94,73
1601932361,140,136
1601934256,82,134
1601936171,112,174
1601938123,132,102
1601940014,134,111
1601941933,63,96
1601943889,132,142
1601945784,75,118
1601947691,135,175
1601949712,270,203
1601951547,78,218
1601953465,138,193
1601955406,106,170
1601957298,136,195
1601959232,93,185
1601961169,85,171
1601963059,85,159
1601964978,116,224
1601966922,84,1835
1601968822,145,239
1601970738,92,170
1601972687,133,230
1601974581,67,177
1601976506,136,328
1601978598,113,201
1601980601,127,244
1601982504,143,248
1601984419,82,134
1601986359,141,158
1601988257,79,136
1601990174,464,183
1601992117,93,269
1601994012,114,190
1601995937,120,156
1601997881,100,162
1601999781,101,101
1602001694,116,165
1602003790,126,160
1602005806,133,157
1602007696,157,178
1602009612,82,161
1602011559,123,210
1602013465,126,91
1602015372,149,126
1602017318,81,94
1602019267,151,140
1602021175,120,92
1602023095,132,131
1602024994,133,115
1602026920,146,127
1602028856,110,106
1602030753,162,135
1602032625,106,126
1602034584,139,154
1602036520,145,299
1602038420,104,97
1602040335,146,158
1602042300,116,125
1602044458,169,150
1602046387,136,89
1602048260,101,78
1602050221,117,101
1602052098,163,137
1602054148,122,146
1602055972,125,112
1602057868,109,155
1602059783,123,69
1602061727,139,144
1602063641,106,121
1602065546,125,142
